asl_gloss,sentence
MARKET IN DESC-FINANCIAL INSTRUMENT IMPLEMENT POWER CONFER ON COMMISSION VOTE,markets in financial instruments implementing powers conferred on the commission vote

REPORT PERVENCHE BERà?X-S,report pervenche berès

PROSPECTUS ON SECURITY IMPLEMENT POWER CONFER ON COMMISSION VOTE,prospectus on securities implementing powers conferred on the commission vote

REPORT PERVENCHE BERà?X-S,report pervenche berès

REPORT MICHAEL CASHMAN,report michael cashman

PLACE ON MARKET BIOCIDAL PRODUCT IMPLEMENT POWER CONFER ON COMMISSION VOTE,placing on the market of biocidal products implementing powers conferred on the commission vote

REPORT àŠSA WESTLUND,report åsa westlund

DESC-STATUTORY AUDIT DESC-ANNUAL ACCOUNT AND DESC-CONSOLIDATED ACCOUNT IMPLEMENT POWER CONFER ON COMMISSION VOTE,statutory audit of annual accounts and consolidated accounts implementing powers conferred on the commission vote

REPORT BERT DOORN,report bert doorn

DESC-INTERNATIONAL ACCOUNTING STANDARD IMPLEMENT POWER CONFER ON COMMISSION VOTE,international accounting standards implementing powers conferred on the commission vote

REPORT MANUEL MEDINA ORTEGA,report manuel medina ortega

REPORT PHILIP BRADBOURN,report philip bradbourn

1 BENZYLPIPERAZINE BZP VOTE,1 benzylpiperazine bzp vote

REPORT JEAN MARIE CAVADA,report jean marie cavada

DESC-INTERNATIONAL ACCOUNTING STANDARD IFR 8 VOTE,international accounting standards ifrs 8 vote

MOTION FOR RESOLUTION,motion for a resolution

APPLICATION DESC-INTERNATIONAL ACCOUNTING STANDARD VOTE,application of the international accounting standards vote

MOTION FOR RESOLUTION,motion for a resolution

REPORT ON DELIBERATION COMMITTEE ON PETITION DURING YEAR 2006 VOTE,report on the deliberations of the committee on petitions during the year 2006 vote

REPORT CARLO JOSà?ITURGAIZ ANGULO,report carlos josé iturgaiz angulo

THAT CONCLUDE VOTE .,that concludes the vote .

VOTE TIME,voting time

NEXT ITEM BE VOTE .,the next item is the vote .

FOR RESULT AND DESC-OR DETAIL ON VOTE SEE MINUTE,for the results and other details on the vote see minutes

CORRECTION TO VOTE AND VOTE INTENTION SEE MINUTE,corrections to votes and voting intentions see minutes

SIT BE SUSPEND AT 13.10 AND RESUME AT 15.00,the sitting was suspended at 13.10 and resumed at 15.00

APPROVAL MINUTE DESC-PREVIOUS SIT SEE MINUTE,approval of minutes of previous sitting see minutes

MEMBERSHIP COMMITTEE AND DELEGATION SEE MINUTE,membership of committees and delegations see minutes

AGENDA FOR NEXT SIT SEE MINUTE,agenda for next sitting see minutes

CLOSURE SIT,closure of sitting

SIT BE DESC-CLOSE AT 11.30 DESC-P.M.,the sitting was closed at 11.30 p.m.

OPEN SIT,opening of the sitting

SIT BE DESC-OPEN AT 10 DESC-A.M.,the sitting was opened at 10 a.m.

COMMUNICATION COUNCIL DESC-COMMON POSITION SEE MINUTE,communication of council common positions see minutes

DESC-QUARTERLY STATISTICS ON COMMUNITY JOB VACANCY VOTE,quarterly statistics on community job vacancies vote

ATHANASIU REPORT,athanasiu report

DESC-FULL APPLICATION SCHENGEN ACQUI VOTE,full application of the schengen acquis vote

COELHO REPORT,coelho report

RECOVERY PLAN FOR BLUEFIN TUNA IN DESC-EASTERN ATLANTIC AND MEDITERRANEAN VOTE,recovery plan for bluefin tuna in the eastern atlantic and the mediterranean vote

BRAGHETTO REPORT,braghetto report

APPLICATION SCHENGEN ACQUI VOTE,application of the schengen acquis vote

MOTION FOR RESOLUTION,motion for a resolution

SITUATION FRAGILITY VOTE,situations of fragility vote

MOTION FOR RESOLUTION,motion for a resolution

CORRECTION TO VOTE AND VOTE INTENTION SEE MINUTE,corrections to votes and voting intentions see minutes

SIT BE SUSPEND AT 1.20 DESC-P.M. AND RESUME AT 3 DESC-P.M.,the sitting was suspended at 1.20 p.m. and resumed at 3 p.m.

APPROVAL MINUTE DESC-PREVIOUS SIT SEE MINUTE,approval of minutes of previous sitting see minutes

DEBATE ON CASE BREACH DESC-HUMAN RIGHTS  DEMOCRACY AND RULE LAW,debates on cases of breaches of human rights  democracy and the rule of law

DESC-CHRISTIAN COMMUNITY IN MIDDLE DESC-EAST VOTE,christian communities in the middle east vote

EL DESC-JOINT MOTION FOR RESOLUTION ??6 0449 2007,el joint motion for a resolution β6 0449 / 2007

UZBEKISTAN VOTE,uzbekistan vote

EL DESC-JOINT MOTION FOR RESOLUTION ??6 0451 2007,el joint motion for a resolution β6 0451 / 2007

AFTER VOTE ON DESC-FIRST MOTION FOR RESOLUTION,after the vote on the first motion for a resolution

MADAM PRESIDENT  X-I COULD DESC-NOT VOTE IN TIME .,madam president  I could not vote in time .

PLEASE PUT X-MY VOTE IN FAVOR .,please put my vote in favour .

SOMALIUM VOTE,somalia vote

EL DESC-JOINT MOTION FOR RESOLUTION ??6 0454 2007,el joint motion for a resolution β6 0454 / 2007

CORRECTION TO VOTE AND VOTE INTENTION SEE MINUTE,corrections to votes and voting intentions see minutes

DOCUMENT RECEIVE SEE MINUTE,documents received see minutes

DECISION CONCERN DESC-CERTAIN DOCUMENT SEE MINUTE,decisions concerning certain documents see minutes

WRITE DECLARATION FOR ENTRY IN REGISTER RULE 116 SEE MINUTE,written declarations for entry in the register rule 116 see minutes

FORWARDING TEXT ADOPT DURING SIT SEE MINUTE,forwarding of texts adopted during the sitting see minutes

DATE FOR NEXT SIT SEE MINUTE,dates for next sittings see minutes

ADJOURNMENT SESSION,adjournment of the session

X-I DECLARE SESSION EUROPEAN PARLIAMENT ADJOURN .,i declare the session of the european parliament adjourned .

SIT BE DESC-CLOSE AT 4.20 DESC-P.M.,the sitting was closed at 4.20 p.m.

APPROVAL MINUTE DESC-PREVIOUS SIT SEE MINUTE,approval of minutes of previous sitting see minutes

MEMBERSHIP PARLIAMENT SEE MINUTE,membership of parliament see minutes

VERIFICATION CREDENTIALS SEE MINUTE,verification of credentials see minutes

MEMBERSHIP COMMITTEE AND DELEGATION SEE MINUTE,membership of committees and delegations see minutes

TEXT AGREEMENT DESC-FORWARD BY COUNCIL SEE MINUTE,texts of agreements forwarded by the council see minutes

ACTION TAKE ON PARLIAMENT X-POSS POSITION AND RESOLUTION SEE MINUTE,action taken on parliament's positions and resolutions see minutes

PROCLAMATION CONSENSUS ON DESC-HUMANITARIAN AID MOTION FOR RESOLUTION TABLE SEE MINUTE,proclamation of consensus on humanitarian aid motions for resolutions tabled see minutes

SITUATION IN GEORGIUM MOTION FOR RESOLUTION TABLE SEE MINUTE,situation in georgia motions for resolutions tabled see minutes

DOCUMENT RECEIVE SEE MINUTE,documents received see minutes

WRITE DECLARATION TABLE SEE MINUTE,written declarations tabling see minutes

AGENDA FOR NEXT SIT SEE MINUTE,agenda for next sitting see minutes

CLOSURE SIT,closure of the sitting

SIT DESC-CLOSE AT 00.05 .,the sitting closed at 00.05 .

OPEN SIT,opening of the sitting

SIT BE DESC-OPEN AT 9.05 DESC-A.M.,the sitting was opened at 9.05 a.m.

DOCUMENT RECEIVE SEE MINUTE,documents received see minutes

ELECTRO DESC-MEDICAL EQUIPMENT USE IN DESC-VETERINARY MEDICINE VOTE,electro medical equipment used in veterinary medicine vote

REPORT ARLENE MCCARTHY,report arlene mccarthy

AMENDMENT DIRECTIVE 2003 54 EC AS REGARD ESTONIUM VOTE,amendment of directive 2003 / 54 / ec as regards estonia vote

REPORT ANGELIKA NIEBLER,report angelika niebler

AGREEMENT BETWEEN EC AND EGYPT ON DESC-SCIENTIFIC AND DESC-TECHNOLOGICAL COOPERATION VOTE,agreement between the ec and egypt on scientific and technological cooperation vote

REPORT ANGELIKA NIEBLER,report angelika niebler

REPORT JO LEINEN,report jo leinen

MACRO DESC-FINANCIAL ASSISTANCE FOR LEBANON VOTE,macro financial assistance for lebanon vote

REPORT KADER ARIF,report kader arif

EUROPEAN SUPERVISION ORDER IN PRE TRIAL PROCEDURE VOTE,european supervision order in pre trial procedures vote

REPORT IOANNUS VARVITSIOTUS,report ioannis varvitsiotis

TREATMENT QUESTION REFER FOR DESC-PRELIMINARY RULING CONCERN AREA FREEDOM  SECURITY AND JUSTICE VOTE,treatment of questions referred for a preliminary ruling concerning the area of freedom  security and justice vote

REPORT DIANA WALLUS,report diana wallis

IMMUNITY AND PRIVILEGE RENATO BRUNETTA VOTE,immunity and privileges of renato brunetta vote
